match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_interceptionWon,stat_aerialLost,stat_keyPass,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,captain,stat_punches,stat_bigChanceCreated,stat_goals,stat_errorLeadToAShot,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside
12765055,home,FC Petrocub Hîncesti,Silviu Șmalenea,Silviu Smalenea,,silviu-smalenea,S. Șmalenea,G,1,184.0,24,M,1138466,EUR,1039392000,G,1,1,False,32.0,24.0,12.0,5.0,0.0,23.0,28.0,1.0,4.0,1.0,6.0,2.0,3.0,90.0,39.0,6.3,9.0,0.00056204,0,-0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Ion Jardan,,,ion-jardan,I. Jardan,M,90,182.0,22,M,66047,EUR,631929600,D,90,90,False,66.0,53.0,4.0,1.0,0.0,33.0,39.0,20.0,28.0,4.0,8.0,,,90.0,83.0,7.2,17.0,0.0401465,1,,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0703,,,,,,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Victor Mudrac,,,victor-mudrac,V. Mudrac,D,4,181.0,45,M,224920,EUR,762652800,D,4,4,False,43.0,40.0,1.0,1.0,0.0,37.0,39.0,3.0,4.0,4.0,3.0,,,90.0,55.0,6.6,3.0,0.00188756,1,,,2.0,2.0,4.0,,1.0,,1.0,2.0,,,,1.0,0.104,1.0,1.0,,,,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Maxim Potirniche,,,maxim-potirniche,M. Potirniche,D,,185.0,16,M,63989,EUR,613699200,D,21,21,False,33.0,28.0,2.0,1.0,0.0,20.0,22.0,8.0,11.0,3.0,2.0,,,90.0,43.0,6.2,8.0,0.00537801,0,,,,2.0,,,,,,,,3.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Ion Borș,Ion Bors,,ion-bors,I. Borș,D,66,,31,M,1083666,EUR,1027555200,D,66,66,False,31.0,26.0,1.0,,0.0,11.0,13.0,15.0,19.0,1.0,4.0,,,90.0,59.0,6.3,10.0,0.0187793,3,,1.0,,6.0,7.0,,2.0,,,5.0,4.0,,1.0,,0.1153,2.0,1.0,2.0,,3.0,1.0,1.0,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Sergiu Plătică,,,sergiu-platica,S. Plătică,D,11,185.0,50,M,883484,EUR,676425600,M,11,11,False,40.0,31.0,1.0,1.0,0.0,13.0,17.0,18.0,25.0,1.0,6.0,,,81.0,68.0,6.4,22.0,0.014134,2,,2.0,,11.0,5.0,4.0,,,,3.0,2.0,1.0,,,0.1087,2.0,,,,7.0,2.0,,2.0,0.2237,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Teodor Lungu,Teodor Lungu,,teodor-lungu,T. Lungu,M,30,,45,M,1110526,EUR,802915200,M,39,39,False,51.0,46.0,6.0,5.0,0.0,28.0,30.0,19.0,27.0,,7.0,,,89.0,71.0,7.1,15.0,0.118248,2,,6.0,,4.0,1.0,3.0,,,,,,2.0,,1.0,0.0385,,3.0,,2.0,1.0,1.0,,2.0,0.0418,1.0,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Donalio Melachio Douanla,Donalio,Melachio Douanla,donalio-melachio-douanla,D. M. Douanla,M,13,180.0,31,M,938171,EUR,875059200,M,20,20,False,43.0,40.0,2.0,2.0,0.0,33.0,34.0,7.0,9.0,1.0,8.0,,,90.0,54.0,6.7,6.0,0.00392154,0,,,,1.0,5.0,,,,,2.0,,3.0,1.0,,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Dan Pușcaș,,,dan-puscas,D. Pușcaș,M,37,175.0,30,M,1050779,EUR,991353600,M,37,37,False,11.0,9.0,,,0.0,3.0,5.0,6.0,6.0,1.0,1.0,,,63.0,22.0,6.3,6.0,0.00540601,1,,,,5.0,2.0,,1.0,,,2.0,2.0,,,,0.0457,1.0,,,,4.0,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Vladimir Ambros,,,vladimir-ambros,V. Ambros,F,9,180.0,32,M,822189,EUR,757209600,F,9,9,False,46.0,38.0,1.0,1.0,0.0,16.0,18.0,23.0,30.0,,5.0,,,81.0,65.0,6.7,17.0,0.247205,1,,2.0,,12.0,5.0,2.0,1.0,,,2.0,,3.0,2.0,2.0,0.0217,5.0,,1.0,4.0,3.0,1.0,,,,1.0,True,,,,,,,
12765055,home,FC Petrocub Hîncesti,Mihai Lupan,,,mihai-lupan,M. Lupan,F,23,173.0,48,M,1388127,EUR,1094601600,F,23,23,False,11.0,7.0,,,0.0,2.0,3.0,5.0,8.0,,3.0,,,63.0,20.0,6.8,6.0,0.00458758,2,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,0.1369,,,,,,,2.0,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Dumitru Demian,,,dumitru-demian,D. Demian,M,8,184.0,28,M,915558,EUR,918432000,M,8,8,True,8.0,6.0,,,0.0,3.0,4.0,3.0,5.0,,,,,27.0,12.0,6.2,5.0,0.0008143,0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Marin Caruntu,,,marin-caruntu,M. Caruntu,F,,178.0,18,M,884870,EUR,880675200,F,22,22,True,2.0,1.0,,,0.0,1.0,2.0,,,,,,,27.0,4.0,6.5,2.0,2.943e-05,0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Vsevolod Nihaev,,,vsevolod-nihaev,V. Nihaev,M,,182.0,6,M,931770,EUR,925776000,M,17,17,True,6.0,6.0,,,0.0,3.0,3.0,3.0,3.0,,,,,9.0,7.0,6.7,,0.043277,0,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Vasile Jardan,,,vasile-jardan,V. Jardan,M,22,178.0,14,M,98091,EUR,743126400,M,30,30,True,4.0,3.0,,,0.0,,,3.0,4.0,,1.0,,,9.0,6.0,6.6,2.0,0.027007,0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Boubacar Diallo,Boubacar,Diallo,boubacar-diallo,B. Diallo,M,,175.0,27,M,1002377,EUR,1021420800,M,6,6,True,6.0,4.0,,,0.0,3.0,3.0,1.0,3.0,,,,,1.0,7.0,,3.0,0.00014563,0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Victor Dodon,Victor Dodon,,victor-dodon,V. Dodon,G,31,186.0,19,M,1124041,EUR,1078099200,G,31,31,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Dumitru Covali,Dumitru Covali,,dumitru-covali,D. Covali,G,,192.0,6,M,1083665,EUR,973468800,G,32,32,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Gilbert Narh,Narh,Gilbert Djangmah,narh-gilbert-djangmah,N. G. Djangmah,D,17,183.0,38,M,1914988,EUR,1090627200,D,5,5,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765055,home,FC Petrocub Hîncesti,Manuel Agyemang,Manuel,Agyemang,manuel-nana-agyemang,M. N. Agyemang,M,8,191.0,34,M,1484181,EUR,1019865600,D,55,55,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765055,away,SK Rapid Wien,Niklas Hedl,,,niklas-hedl,N. Hedl,G,1,188.0,295,M,918421,EUR,984787200,G,45,45,False,32.0,28.0,8.0,4.0,0.0,27.0,29.0,1.0,3.0,1.0,8.0,2.0,4.0,90.0,41.0,7.6,4.0,0.00062147,0,0.2655,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
12765055,away,SK Rapid Wien,Bendegúz Bolla,,,bendeguz-bolla,B. Bolla,D,77,179.0,1205,M,921140,EUR,943228800,D,77,77,False,32.0,27.0,1.0,1.0,0.0,10.0,11.0,18.0,23.0,3.0,,,,39.0,47.0,7.7,8.0,0.059303,1,,2.0,,1.0,1.0,,,,,,,1.0,,,0.3637,,,,1.0,2.0,1.0,,1.0,0.9579,1.0,,,1.0,1.0,,,,
