match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_aerialWon,stat_fouls,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,player_height,stat_dispossessed,stat_goalAssist,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_clearanceOffLine,stat_hitWoodwork,stat_bigChanceMissed,stat_goals
10835050,home,SV Urk,Richard Strijker,Richard,Strijker,richard-strijker,R. Strijker,G,33,0,M,899678,EUR,664934400.0,G,1,1,False,47.0,33.0,21.0,7.0,29.0,33.0,4.0,14.0,1.0,10.0,2.0,1.0,1.0,2.0,4.0,90.0,57.0,5.3,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835050,home,SV Urk,Iede Nentjes,Iede Nentjes,,iede-nentjes,I. Nentjes,D,12,1,M,1418043,EUR,914112000.0,D,12,12,False,26.0,10.0,15.0,4.0,5.0,5.0,6.0,25.0,1.0,8.0,,,,,,90.0,53.0,6.4,30.0,0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10835050,home,SV Urk,Lucas Nagel,Lucas,Nagel,lucas-nagel,L. Nagel,M,6,1,M,908398,EUR,656812800.0,D,6,6,False,49.0,44.0,16.0,12.0,35.0,35.0,9.0,14.0,5.0,9.0,,2.0,,,,75.0,62.0,7.1,6.0,1,,,4.0,1.0,3.0,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
10835050,home,SV Urk,Klaas Kramer,Klaas,Kramer,klaas-kramer,K. Kramer,D,5,0,M,908393,EUR,745027200.0,D,5,5,False,38.0,31.0,10.0,6.0,26.0,29.0,5.0,9.0,4.0,9.0,,,,,,75.0,51.0,7.1,8.0,0,,,2.0,,,2.0,1.0,2.0,2.0,1.0,,1.0,,,3.0,2.0,1.0,,,,,,,,,,,,,,,
10835050,home,SV Urk,Riekelt Jan Brands,Riekelt,Jan Brands,riekelt-jan-brands,R. J. Brands,D,17,0,M,908395,EUR,723254400.0,D,17,17,False,41.0,23.0,15.0,7.0,16.0,22.0,7.0,20.0,8.0,7.0,,,,,,90.0,73.0,6.9,27.0,2,1.0,,6.0,,,,3.0,4.0,3.0,2.0,1.0,6.0,,,3.0,4.0,,True,2.0,,,,,,,,,,,,,
10835050,home,SV Urk,Riekelt Nentjes,Riekelt,Nentjes,riekelt-nentjes,R. Nentjes,M,20,1,M,908402,EUR,767750400.0,M,20,20,False,15.0,11.0,2.0,1.0,5.0,7.0,6.0,13.0,2.0,3.0,,,,,,90.0,35.0,6.4,15.0,3,5.0,,2.0,1.0,1.0,,1.0,2.0,1.0,4.0,,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,
10835050,home,SV Urk,Joël Tol,Joël Tol,,joel-tol,J. Tol,M,,2,M,1418054,EUR,1072310400.0,M,7,7,False,19.0,13.0,2.0,1.0,7.0,9.0,6.0,10.0,4.0,6.0,,2.0,,,,63.0,37.0,7.2,7.0,2,,,5.0,1.0,,2.0,2.0,2.0,,,1.0,3.0,,2.0,,,1.0,,,,,,,,,,,,,,,
10835050,home,SV Urk,Jan Ras,Jan,Ras,jan-ras,J. Ras,M,10,8,M,990822,EUR,917481600.0,M,10,10,False,50.0,36.0,5.0,2.0,25.0,30.0,13.0,23.0,2.0,8.0,,,,,,90.0,66.0,6.8,18.0,1,3.0,2.0,3.0,,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,174.0,,,,,,,,,,
10835050,home,SV Urk,Lucas Schraal,Lucas Schraal,,lucas-schraal,L. Schraal,F,11,1,M,1418053,EUR,923529600.0,F,11,11,False,8.0,4.0,,,1.0,2.0,3.0,6.0,2.0,3.0,,1.0,,,,68.0,19.0,6.1,11.0,1,,,9.0,3.0,2.0,,,1.0,,4.0,1.0,1.0,,,,,2.0,,,1.0,,,1.0,,,,,,,,,
10835050,home,SV Urk,Hessel Snoek,Hessel,Snoek,hessel-snoek,H. Snoek,F,23,0,M,908399,EUR,731894400.0,F,99,99,False,11.0,9.0,2.0,2.0,6.0,7.0,3.0,4.0,1.0,,,,,,,90.0,22.0,6.4,8.0,2,,,6.0,,2.0,,,,,2.0,,2.0,,2.0,,1.0,,,,,3.0,,2.0,,,,,,,,,
