match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_expectedGoals,stat_dispossessed,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_totalOffside
11369966,home,RC Sporting Charleroi,Pierre Patron,pierre-patron,P. Patron,G,1,191.0,33,M,942837,EUR,872035200,G,1,1,False,24.0,10.0,20.0,6.0,5.0,8.0,5.0,16.0,1.0,11.0,4.0,2.0,1.0,90.0,38.0,7.3,14.0,0.00051869,0,0.4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369966,home,RC Sporting Charleroi,Žan Rogelj,zan-rogelj,Ž. Rogelj,D,21,175.0,87,M,888605,EUR,943488000,D,29,29,False,28.0,19.0,5.0,1.0,11.0,14.0,9.0,17.0,2.0,2.0,,,,90.0,61.0,7.2,16.0,0.0966842,0,,3.0,1.0,1.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11369966,home,RC Sporting Charleroi,Jules Van Cleemput,jules-van-cleemput,J. Van Cleemput,D,2,182.0,37,M,799163,EUR,878601600,D,4,4,False,32.0,22.0,4.0,2.0,15.0,21.0,7.0,11.0,4.0,4.0,,,,90.0,49.0,7.7,10.0,0.00350615,1,,,,1.0,1.0,11.0,,,,4.0,1.0,,,2.0,,,,,8.0,1.0,1.0,1.0,0.0651,,,,,,,,,,,
11369966,home,RC Sporting Charleroi,Stelios Andreou,andreou-stelios,S. Andreou,D,5,187.0,339,M,994282,EUR,1027468800,D,21,21,False,35.0,22.0,13.0,5.0,17.0,23.0,5.0,12.0,4.0,7.0,,,,90.0,52.0,7.2,15.0,0.00220508,0,,,,1.0,2.0,6.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,
11369966,home,RC Sporting Charleroi,Vetle Winger Dragsnes,vetle-winger-dragsnes,V. W. Dragsnes,D,20,187.0,53,M,548640,EUR,760492800,D,15,15,False,34.0,29.0,3.0,2.0,14.0,17.0,17.0,20.0,6.0,6.0,,,,90.0,69.0,7.5,10.0,0.120825,0,,3.0,2.0,2.0,7.0,9.0,2.0,1.0,,2.0,5.0,3.0,1.0,2.0,1.0,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,
11369966,home,RC Sporting Charleroi,Marco Ilaimaharitra,marco-ilaimaharitra,M. Ilaimaharitra,M,23,178.0,500,M,358198,EUR,806716800,M,26,26,False,36.0,24.0,8.0,1.0,14.0,20.0,10.0,17.0,1.0,4.0,,,,90.0,49.0,6.8,15.0,0.00763368,1,,1.0,,1.0,5.0,3.0,1.0,,,3.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,0.0942,1.0,,True,,,,,,,,
11369966,home,RC Sporting Charleroi,Antoine Bernier,antoine-bernier,A. Bernier,M,17,170.0,106,M,834261,EUR,873849600,M,17,17,False,9.0,3.0,,,,1.0,3.0,8.0,,3.0,,,,64.0,25.0,6.5,10.0,0.0156496,1,,,,1.0,4.0,7.0,,3.0,1.0,,2.0,2.0,2.0,2.0,1.0,,,,2.0,1.0,,,0.2118,,,,,,,,,,,
11369966,home,RC Sporting Charleroi,Daan Heymans,heymans-daan,D. Heymans,M,38,186.0,544,M,845344,EUR,929404800,M,18,18,False,40.0,25.0,2.0,1.0,5.0,7.0,20.0,34.0,,3.0,,,,89.0,54.0,6.8,17.0,0.0305953,2,,1.0,,4.0,7.0,10.0,,,,3.0,4.0,1.0,,1.0,2.0,,,,5.0,2.0,1.0,,0.5186,1.0,,,2.0,,,,,,,
11369966,home,RC Sporting Charleroi,Ryota Morioka,ryota-morioka,R. Morioka,M,,180.0,229,M,109376,EUR,671414400,M,44,44,False,40.0,32.0,4.0,4.0,13.0,16.0,19.0,27.0,2.0,8.0,,,,90.0,58.0,7.5,13.0,0.098327,1,,3.0,,2.0,4.0,4.0,,,,2.0,3.0,2.0,2.0,,3.0,2.0,,,1.0,1.0,,,0.0645,,,,,,,,,,,
11369966,home,RC Sporting Charleroi,Parfait Guiagon,parfait-guiagon,P. Guiagon,M,10,169.0,1096,M,1030459,EUR,982800000,M,8,8,False,26.0,18.0,1.0,,7.0,11.0,11.0,16.0,,9.0,,,,90.0,56.0,7.8,18.0,0.0237176,4,,1.0,,1.0,7.0,10.0,,8.0,4.0,1.0,3.0,3.0,3.0,2.0,,,,,1.0,,,,0.1773,2.0,,,,2.0,2.0,1.0,0.3652,,,
