match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,player_firstName,player_lastName,stat_fouls,stat_challengeLost,stat_dispossessed,stat_keyPass,captain,stat_wasFouled,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_bigChanceCreated
12116994,home,Grêmio,Agustín Marchesín,agustin-marchesin,A. Marchesín,G,1,188.0,1568,M,47339,EUR,574473600,G,1,1,False,24.0,14.0,21.0,11.0,8.0,9.0,6.0,15.0,7.0,1.0,2.0,3.0,90.0,32.0,7.5,10.0,0.00144553,0,1.3084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116994,home,Grêmio,João Pedro,joao-pedro,J. Pedro,D,18,179.0,1116,M,605528,EUR,848016000,D,18,18,False,59.0,50.0,4.0,3.0,17.0,19.0,33.0,43.0,5.0,,,,90.0,85.0,7.6,15.0,0.0282706,1,,3.0,3.0,1.0,4.0,7.0,6.0,5.0,1.0,2.0,1.0,2.0,0.019,,,,,,,,,,,,,,,,,,,
12116994,home,Grêmio,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188.0,865,M,168745,EUR,752284800,D,5,5,False,45.0,35.0,6.0,2.0,19.0,24.0,16.0,21.0,,,,,90.0,61.0,7.7,10.0,0.00581501,0,,,2.0,4.0,2.0,6.0,,,,7.0,2.0,,,1.0,4.0,2.0,,,,,,,,,,,,,,,,
12116994,home,Grêmio,Gustavo Martins,gustavo-martins,G. Martins,D,53,191.0,1207,M,1105796,EUR,1029024000,D,53,53,False,61.0,58.0,5.0,4.0,34.0,36.0,24.0,25.0,2.0,,,,90.0,67.0,7.1,3.0,0.00963695,0,,,1.0,1.0,2.0,1.0,,,,5.0,,,,,,,Gustavo Martins,,2.0,,,,,,,,,,,,,
12116994,home,Grêmio,José Guilherme,jose-guilherme,J. Guilherme,D,66,181.0,396,M,1476894,EUR,1110931200,D,46,46,False,37.0,35.0,,,9.0,9.0,26.0,28.0,3.0,,,,54.0,55.0,7.0,4.0,0.0119067,0,,,2.0,2.0,6.0,6.0,1.0,,,1.0,4.0,,,,2.0,2.0,José,Guilherme,,3.0,,,,,,,,,,,,
12116994,home,Grêmio,Du Queiroz,du-queiroz,D. Queiroz,M,37,172.0,752,M,1128129,EUR,947203200,M,37,37,False,64.0,58.0,5.0,2.0,14.0,16.0,44.0,48.0,8.0,,,,85.0,72.0,6.9,8.0,0.0768689,0,,,,,3.0,1.0,2.0,1.0,,1.0,,,,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,
12116994,home,Grêmio,Mathias Villasanti,mathias-villasanti,M. Villasanti,M,20,178.0,2843,M,1139775,EUR,854064000,M,20,20,False,63.0,59.0,4.0,4.0,26.0,27.0,33.0,36.0,5.0,,,,90.0,76.0,7.2,7.0,0.108626,1,,,,1.0,6.0,6.0,1.0,,1.0,,4.0,2.0,0.1063,,1.0,3.0,,,1.0,4.0,,1.0,True,1.0,,,,,,,,
12116994,home,Grêmio,Gustavo Nunes,gustavo-nunes,Gustavo Nunes,M,18,173.0,2173,M,1514747,EUR,1132444800,M,39,39,False,45.0,38.0,1.0,,5.0,6.0,34.0,43.0,5.0,,,,89.0,75.0,6.8,20.0,0.0733948,0,,4.0,,,7.0,6.0,8.0,3.0,,1.0,2.0,2.0,,,,1.0,Gustavo Nunes,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,
12116994,home,Grêmio,Franco Cristaldo,franco-cristaldo,F. Cristaldo,M,10,175.0,2295,M,558820,EUR,840067200,M,10,10,False,44.0,39.0,3.0,1.0,6.0,6.0,33.0,38.0,3.0,,,,69.0,59.0,7.7,8.0,0.0797069,1,,,,,,1.0,,,,1.0,1.0,3.0,0.0149,,,1.0,,,,,,,,,,1.0,1.0,,,,,
12116994,home,Grêmio,Yeferson Soteldo,yeferson-soteldo,Y. Soteldo,M,7,160.0,11184,M,789960,EUR,867628800,M,7,7,False,43.0,38.0,2.0,1.0,14.0,15.0,24.0,32.0,3.0,,,,85.0,65.0,7.2,19.0,0.0831942,3,,4.0,,,6.0,3.0,6.0,2.0,1.0,,,5.0,0.0884,,,,,,,1.0,1.0,2.0,,1.0,,2.0,,yefersonsoteldo1006,1.0,,,
