match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_interceptionWon,stat_fouls,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_hitWoodwork,stat_errorLeadToAGoal,player_firstName,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,captain,stat_goalAssist,stat_bigChanceCreated,player_lastName
11369378,home,Celta Vigo,Vicente Guaita,vicente-guaita,V. Guaita,G,13,190,509,M,32023,EUR,537235200,G,25,25,False,32.0,20.0,25.0,13.0,13.0,13.0,7.0,19.0,1.0,13.0,2.0,4.0,4.0,1.0,1.0,1.0,90.0,47.0,7.8,12.0,0.00235995,0,0.4137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369378,home,Celta Vigo,Kevin Vázquez,kevin-vazquez,K. Vázquez,D,20,173,142,M,795257,EUR,732844800,D,20,20,False,18.0,14.0,2.0,1.0,8.0,10.0,6.0,8.0,5.0,4.0,,,,,,,59.0,30.0,6.7,4.0,0.00248649,0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369378,home,Celta Vigo,Carl Starfelt,carl-starfelt,C. Starfelt,D,2,185,781,M,360718,EUR,801964800,D,2,2,False,28.0,23.0,3.0,1.0,19.0,20.0,4.0,8.0,10.0,3.0,,,,,,,90.0,44.0,7.6,5.0,0.00053176,2,,1.0,1.0,,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6587,0.094,,,,,,,,,,,,,,,,,,,,
11369378,home,Celta Vigo,Unai Núñez,unai-nunez,U. Núñez,D,4,186,733,M,892521,EUR,854582400,D,4,4,False,39.0,28.0,9.0,4.0,19.0,23.0,9.0,16.0,8.0,4.0,,,,,,,90.0,57.0,7.4,11.0,0.00464174,1,,2.0,2.0,1.0,1.0,4.0,8.0,,1.0,,,1.0,1.0,0.1296,,3.0,2.0,,,,,,,,,,,,,,,,,,
11369378,home,Celta Vigo,Manuel Sánchez,manuel-sanchez,M. Sánchez,D,23,179,623,M,984789,EUR,966988800,D,23,23,False,36.0,27.0,4.0,2.0,12.0,15.0,16.0,23.0,,5.0,,,,,,,90.0,62.0,6.9,14.0,0.0420847,0,,5.0,1.0,1.0,3.0,2.0,4.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
11369378,home,Celta Vigo,Óscar Mingueza,oscar-mingueza,Ó. Mingueza,M,3,184,3812,M,859773,EUR,926553600,M,3,3,False,35.0,27.0,5.0,4.0,8.0,10.0,21.0,30.0,1.0,3.0,,,,,,,90.0,52.0,6.6,14.0,0.150266,0,,4.0,,,2.0,1.0,3.0,,,,,1.0,,,,2.0,1.0,5.0,2.0,1.0,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,
11369378,home,Celta Vigo,Renato Tapia,renato-tapia,R. Tapia,M,13,185,3151,M,352376,EUR,806889600,M,5,5,False,25.0,21.0,3.0,,14.0,17.0,7.0,8.0,4.0,2.0,,,,,,,65.0,42.0,6.2,4.0,0.0028056,1,,6.0,,4.0,,2.0,7.0,,1.0,,,,2.0,0.0288,,3.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,
11369378,home,Celta Vigo,Hugo Sotelo,hugo-sotelo,H. Sotelo,M,22,180,632,M,1120669,EUR,1071792000,M,30,30,False,40.0,34.0,10.0,7.0,21.0,22.0,13.0,22.0,1.0,6.0,,,,,,,69.0,50.0,6.8,11.0,0.0274381,0,,4.0,,1.0,,,2.0,,,,,,,,,2.0,2.0,4.0,,2.0,,,,,1.0,,,Hugo Sotelo,,,,,,,
11369378,home,Celta Vigo,Jonathan Bamba,jonathan-bamba,J. Bamba,F,19,175,1936,M,595576,EUR,827798400,M,17,17,False,27.0,15.0,,,7.0,9.0,8.0,19.0,1.0,4.0,,,,,,,81.0,50.0,6.2,20.0,0.00778104,3,,8.0,,,,,3.0,1.0,1.0,1.0,,,,0.1407,0.0846,,,1.0,,3.0,6.0,3.0,2.0,,2.0,,,,1.0,1.0,,,,,
11369378,home,Celta Vigo,Iago Aspas,iago-aspas,I. Aspas,F,10,176,5000,M,19356,EUR,554774400,F,10,10,False,28.0,21.0,,,5.0,6.0,18.0,24.0,1.0,2.0,,,,,,,69.0,42.0,7.7,11.0,0.609521,2,,3.0,,1.0,1.0,,2.0,,,,,,1.0,0.1739,,,,2.0,2.0,1.0,1.0,1.0,2.0,4.0,,,,,2.0,,i.aspas10,True,1.0,1.0,
